,TY 2020: 6% Rate,,,,,20% Rate,,30% Rate,
County,EITC claims,Amount,Returns,Avg. EITC,Takeup rate,Avg. EITC,Total,Avg. EITC,Total
Alcona,689,"$82,508","4,847",$119.75,14%,$399.17,"$275,026.67",$598.75,"$412,540.00"
Alger,482,"$58,284","4,002",$120.92,12%,$403.07,"$194,280.00",$604.61,"$291,420.00"
Allegan,"5,852","$751,703","50,143",$128.45,12%,$428.17,"$2,505,676.67",$642.26,"$3,758,515.00"
Alpena,"2,036","$232,415","14,431",$114.15,14%,$380.51,"$774,716.67",$570.76,"$1,162,075.00"
Antrim,"1,598","$199,519","11,837",$124.86,14%,$416.18,"$665,063.33",$624.28,"$997,595.00"
Arenac,940,"$120,208","6,650",$127.88,14%,$426.27,"$400,693.33",$639.40,"$601,040.00"
Baraga,498,"$62,553","3,484",$125.61,14%,$418.69,"$208,510.00",$628.04,"$312,765.00"
Barry,"2,811","$358,982","24,656",$127.71,11%,$425.69,"$1,196,606.67",$638.53,"$1,794,910.00"
Bay,"6,941","$865,227","51,871",$124.65,13%,$415.52,"$2,884,090.00",$623.27,"$4,326,135.00"
Benzie,"1,034","$125,034","8,228",$120.92,13%,$403.08,"$416,780.00",$604.61,"$625,170.00"
Berrien,"11,849","$1,657,484","76,817",$139.88,15%,$466.28,"$5,524,946.67",$699.42,"$8,287,420.00"
Branch,"2,997","$402,972","18,880",$134.46,16%,$448.19,"$1,343,240.00",$672.29,"$2,014,860.00"
Calhoun,"10,058","$1,380,663","60,964",$137.27,16%,$457.57,"$4,602,210.00",$686.35,"$6,903,315.00"
Cass,"2,864","$384,685","18,997",$134.32,15%,$447.72,"$1,282,283.33",$671.59,"$1,923,425.00"
Charlevoix,"1,661","$200,638","14,153",$120.79,12%,$402.64,"$668,793.33",$603.97,"$1,003,190.00"
Cheboygan,"1,771","$224,810","11,211",$126.94,16%,$423.13,"$749,366.67",$634.70,"$1,124,050.00"
Chippewa,"2,431","$324,966","15,892",$133.68,15%,$445.59,"$1,083,220.00",$668.38,"$1,624,830.00"
Clare,"2,563","$335,209","15,009",$130.79,17%,$435.96,"$1,117,363.33",$653.94,"$1,676,045.00"
Clinton,"2,499","$312,439","28,711",$125.03,9%,$416.75,"$1,041,463.33",$625.13,"$1,562,195.00"
Crawford,849,"$110,536","5,380",$130.20,16%,$433.99,"$368,453.33",$650.98,"$552,680.00"
Delta,"2,319","$281,979","18,156",$121.60,13%,$405.32,"$939,930.00",$607.98,"$1,409,895.00"
Dickinson,"1,707","$206,052","12,925",$120.71,13%,$402.37,"$686,840.00",$603.55,"$1,030,260.00"
Eaton,"6,195","$773,838","57,530",$124.91,11%,$416.38,"$2,579,460.00",$624.57,"$3,869,190.00"
Emmet,"2,094","$238,898","19,244",$114.09,11%,$380.29,"$796,326.67",$570.43,"$1,194,490.00"
Genesee,"33,770","$4,843,074","200,264",$143.41,17%,$478.05,"$16,143,580.00",$717.07,"$24,215,370.00"
